"Date","Price","Open","High","Low","Vol.","Change %"
"25-03-2022","697.40","703.92","709.88","693.50","936.17K","-0.79%"
"24-03-2022","702.95","703.00","720.47","691.00","2.35M","-0.09%"
"23-03-2022","703.55","719.95","727.03","701.65","1.06M","-0.54%"
"22-03-2022","707.38","723.50","723.50","699.03","1.14M","-2.17%"
"21-03-2022","723.10","729.00","735.00","719.42","1.17M","0.03%"
"17-03-2022","722.90","743.00","747.00","717.50","2.45M","-1.12%"
"16-03-2022","731.08","697.50","740.53","690.55","4.81M","6.20%"
"15-03-2022","688.40","696.45","701.00","679.38","793.21K","-0.32%"
"14-03-2022","690.63","700.00","702.45","688.55","948.08K","-0.28%"
"11-03-2022","692.55","685.00","703.00","683.53","1.18M","1.24%"
"10-03-2022","684.10","668.78","694.50","668.78","1.23M","2.44%"
"09-03-2022","667.78","669.50","678.97","665.00","954.24K","0.74%"
"08-03-2022","662.85","670.90","675.00","653.53","1.16M","0.05%"
"07-03-2022","662.53","677.40","682.08","652.28","1.18M","-3.43%"
"04-03-2022","686.05","688.00","709.28","680.53","1.45M","-0.41%"
"03-03-2022","688.90","699.50","712.25","685.47","1.19M","-0.91%"
"02-03-2022","695.20","693.45","714.97","680.92","1.85M","0.19%"
"28-02-2022","693.88","657.00","696.58","642.58","1.49M","5.56%"
"25-02-2022","657.30","642.90","666.10","642.90","1.09M","3.00%"
"24-02-2022","638.13","645.00","649.65","620.00","1.38M","-2.59%"
"23-02-2022","655.08","640.50","662.00","640.50","1.17M","2.22%"
"22-02-2022","640.83","632.50","644.97","628.50","1.21M","-1.49%"
"21-02-2022","650.53","665.00","669.00","647.28","1.21M","-3.34%"
"18-02-2022","672.97","687.50","687.50","670.25","1.23M","-1.36%"
"17-02-2022","682.28","671.00","687.85","670.00","1.12M","0.12%"
"16-02-2022","681.42","687.47","696.00","677.45","1.01M","-0.33%"
"15-02-2022","683.70","675.00","686.47","658.00","649.63K","2.59%"
"14-02-2022","666.42","677.50","682.45","663.05","694.50K","-3.41%"
"11-02-2022","689.97","685.00","699.50","685.00","557.22K","-1.28%"
"10-02-2022","698.92","709.50","719.00","691.50","1.99M","-1.18%"
"09-02-2022","707.25","692.50","711.50","691.55","1.17M","2.65%"
"08-02-2022","689.03","695.00","702.00","682.60","999.43K","-0.63%"
"07-02-2022","693.40","700.10","709.42","691.00","628.23K","-0.96%"
"04-02-2022","700.10","708.30","716.78","697.30","586.41K","-1.16%"
"03-02-2022","708.33","712.95","727.00","703.50","1.48M","-0.27%"
"02-02-2022","710.28","724.50","728.88","705.50","1.25M","-1.47%"
"01-02-2022","720.88","728.83","737.40","708.75","1.53M","-0.14%"
"31-01-2022","721.85","724.00","735.25","713.83","1.70M","1.88%"
"28-01-2022","708.55","715.95","735.50","702.70","1.92M","-0.41%"
"27-01-2022","711.47","709.75","714.63","699.22","1.55M","0.12%"
"25-01-2022","710.65","670.53","719.00","665.92","1.91M","4.44%"
